Case Record ID,Campaign Code
500PU00001015tKYAQ,SUBRE
500PU0000101AmWYAU,SUBRE
500PU0000101avRYAQ,SUBRE
500PU0000101rkvYAA,SUBRE
500PU0000101U1yYAE,SUBRE
500PU0000101rjJYAQ,SUBRE
500PU0000101f3uYAA,SUBRE
500PU00000zykjLYAQ,SUBRE
500PU0000101EWnYAM,SUBRE
500PU0000101rY2YAI,SUBRE
500PU0000101KPEYA2,SUBRE
500PU0000101i9pYAA,SUBRE
500PU0000101YKBYA2,SUBRE
500PU0000101U5GYAU,SUBRE
500PU0000101TdtYAE,SUBRE
500PU0000100rjyYAA,SUBRE
500PU00001013Y9YAI,SUBRE
500PU0000101kZnYAI,SUBRE
500PU00000zxeZRYAY,SUBRE
500PU0000101rZdYAI,SUBRE
500PU0000101QuVYAU,SUBRE
500PU0000101ZRTYA2,SUBRE
500PU0000101NJuYAM,SUBRE
500PU0000101avQYAQ,SUBRE
500PU000010142sYAA,SUBRE
500PU0000101kbRYAQ,SUBRE
500PU00001019gxYAA,SUBRE
500PU0000101H3EYAU,SUBRE
500PU0000101oK2YAI,SUBRE
500PU0000101Pn8YAE,SUBRE
500PU0000101KtsYAE,SUBRE
500PU0000101nxUYAQ,SUBRE
500PU0000101gUaYAI,SUBRE
500PU00001016EHYAY,SUBRE
500PU0000101QuUYAU,SUBRE
500PU0000101OZOYA2,SUBRE
500PU0000101JRhYAM,SUBRE
500PU0000101YQZYA2,SUBRE
500PU0000101q8wYAA,SUBRE
500PU0000101nFuYAI,SUBRE
500PU00000zzz6kYAA,SUBRE
500PU0000101EIJYA2,SUBRE
500PU0000101r1mYAA,SUBRE
500PU000010102VYAQ,SUBRE
500PU0000101a2aYAA,SUBRE
500PU0000101exRYAQ,SUBRE
500PU0000101UYGYA2,SUBRE
500PU0000101Z0AYAU,SUBRE
500PU0000101qNTYAY,SUBRE
500PU0000101kecYAA,SUBRE
500PU0000101TvXYAU,SUBRE
500PU0000101EGfYAM,SUBRE
500PU0000101DUHYA2,SUBRE
500PU0000100k47YAA,SUBRE
500PU0000101Q3fYAE,SUBRE
500PU0000101LMwYAM,SUBRE
500PU0000100EaUYAU,SUBRE
500PU0000101pcgYAA,SUBRE
500PU0000101oyNYAQ,SUBRE
500PU0000101bhmYAA,SUBRE
500PU0000101pspYAA,SUBRE
500PU00001016KjYAI,SUBRE
500PU0000101OmHYAU,SUBRE
500PU0000101ZhdYAE,SUBRE
500PU0000100h9SYAQ,SUBRE
500PU0000101jfMYAQ,SUBRE
500PU0000101pnzYAA,SUBRE
500PU0000100qB7YAI,SUBRE
500PU0000101dmrYAA,SUBRE
500PU0000101E23YAE,SUBRE
500PU0000100hCZYAY,SUBRE
500PU0000100tfKYAQ,SUBRE
500PU0000101dOgYAI,SUBRE
500PU0000101iGEYAY,SUBRE
500PU0000100tPCYAY,SUBRE
500PU0000100rjxYAA,SUBRE
500PU0000101iOKYAY,SUBRE
500PU0000101qFOYAY,SUBRE
500PU0000100oUMYAY,SUBRE
500PU0000100lzRYAQ,SUBRE
500PU0000101YYeYAM,SUBRE
500PU0000101qIcYAI,SUBRE
500PU000010102UYAQ,SUBRE
500PU0000101Q88YAE,SUBRE
500PU0000101gHfYAI,SUBRE
500PU0000101oTiYAI,SUBRE
500PU000010173qYAA,SUBRE
500PU0000101fALYAY,SUBRE
500PU0000101R2bYAE,SUBRE
500PU0000101ZxlYAE,SUBRE
500PU0000101Vm8YAE,SUBRE
500PU0000101NdJYAU,SUBRE
500PU00001014SaYAI,SUBRE
500PU0000100AF8YAM,SUBRE
500PU0000101nSoYAI,SUBRE
500PU0000101BU7YAM,SUBRE
500PU0000101rBRYAY,SUBRE
500PU0000101ZCwYAM,SUBRE
500PU0000101mF1YAI,SUBRE
500PU0000101dy7YAA,SUBRE
500PU0000101NS2YAM,SUBRE
500PU0000101oYaYAI,SUBRE
500PU000010167qYAA,SUBRE
500PU0000101jLyYAI,SUBRE
500PU0000100WXSYA2,SUBRE
500PU0000101qbzYAA,SUBRE
500PU0000101r3NYAQ,SUBRE
500PU0000101BH9YAM,SUBRE
500PU0000101hAUYAY,SUBRE
500PU00001016UQYAY,SUBRE
500PU0000101oaAYAQ,SUBRE
500PU00001017euYAA,SUBRE
500PU0000101URqYAM,SUBRE
500PU0000101Ly5YAE,SUBRE
